temporal_sample_id,project_id,target,s_delta,Delta_Pred,Error_Type
MH-001_21.179714_78.924588,MH-001,1,0.84918284,1,TP
MH-001_21.179445_78.914887,MH-001,0,0.008031957,0,TN
MH-001_21.179445_78.915156,MH-001,0,0.0073542977,0,TN
MH-001_21.179445_78.915426,MH-001,0,0.0040211813,0,TN
MH-001_21.179445_78.915695,MH-001,0,0.001795786,0,TN
MH-001_21.179445_78.915965,MH-001,0,0.0030485017,0,TN
MH-001_21.179445_78.91839,MH-001,1,0.7607728,1,TP
MH-001_21.179445_78.920007,MH-001,1,0.99165934,1,TP
MH-001_21.179445_78.920277,MH-001,0,0.98951095,1,FP
MH-001_21.179445_78.920546,MH-001,1,0.977803,1,TP
MH-001_21.179445_78.920816,MH-001,1,0.9515203,1,TP
MH-001_21.179445_78.921085,MH-001,1,0.9151824,1,TP
MH-001_21.179445_78.921355,MH-001,1,0.8671699,1,TP
MH-001_21.179445_78.921624,MH-001,1,0.831127,1,TP
MH-001_21.179445_78.921894,MH-001,1,0.777821,1,TP
MH-001_21.179445_78.922163,MH-001,1,0.66954315,1,TP
MH-001_21.179445_78.924049,MH-001,0,0.521721,1,FP
MH-001_21.179445_78.925127,MH-001,1,0.89101684,1,TP
MH-001_21.179445_78.925397,MH-001,0,0.79613084,1,FP
MH-001_21.179445_78.925666,MH-001,0,0.77643317,1,FP
MH-001_21.179445_78.925936,MH-001,0,0.5754516,1,FP
MH-001_21.179175_78.914887,MH-001,0,0.011431416,0,TN
MH-001_21.179175_78.915156,MH-001,0,0.01812654,0,TN
MH-001_21.179175_78.915695,MH-001,0,0.0039158687,0,TN
MH-001_21.179175_78.915965,MH-001,0,0.0036621408,0,TN
MH-001_21.179175_78.916504,MH-001,0,0.007349402,0,TN
MH-001_21.179175_78.916773,MH-001,0,0.017743744,0,TN
MH-001_21.179175_78.917043,MH-001,0,0.03956547,0,TN
MH-001_21.179175_78.917312,MH-001,0,0.0464494,0,TN
MH-001_21.179175_78.91866,MH-001,0,0.7838684,1,FP
MH-001_21.179175_78.918929,MH-001,0,0.82838756,1,FP
MH-001_21.179175_78.920277,MH-001,0,0.9825233,1,FP
MH-001_21.179175_78.920546,MH-001,1,0.9670328,1,TP
MH-001_21.179175_78.920816,MH-001,1,0.92486113,1,TP
MH-001_21.179175_78.921085,MH-001,1,0.86541253,1,TP
MH-001_21.179175_78.921355,MH-001,1,0.87119234,1,TP
MH-001_21.179175_78.921624,MH-001,1,0.8281146,1,TP
MH-001_21.179175_78.921894,MH-001,1,0.8041184,1,TP
MH-001_21.179175_78.922163,MH-001,0,0.67096305,1,FP
MH-001_21.179175_78.922433,MH-001,1,0.6668562,1,TP
MH-001_21.179175_78.922702,MH-001,0,0.59301955,1,FP
MH-001_21.179175_78.923241,MH-001,1,0.49970573,1,TP
MH-001_21.179175_78.92351,MH-001,1,0.25758067,1,TP
MH-001_21.179175_78.924319,MH-001,0,0.5442575,1,FP
MH-001_21.179175_78.925127,MH-001,1,0.8457619,1,TP
MH-001_21.179175_78.925397,MH-001,1,0.77381825,1,TP
MH-001_21.179175_78.925666,MH-001,1,0.8481782,1,TP
MH-001_21.179175_78.925936,MH-001,0,0.6133115,1,FP
MH-001_21.178906_78.914617,MH-001,0,0.008947535,0,TN
MH-001_21.178906_78.914887,MH-001,0,0.015468687,0,TN
MH-001_21.178906_78.915156,MH-001,0,0.014765043,0,TN
MH-001_21.178906_78.915426,MH-001,0,0.008115937,0,TN
MH-001_21.178906_78.917043,MH-001,0,0.01331291,0,TN
MH-001_21.178906_78.917312,MH-001,0,0.016816555,0,TN
MH-001_21.178906_78.917582,MH-001,0,0.021728823,0,TN
MH-001_21.178906_78.91866,MH-001,0,0.13844346,1,FP
MH-001_21.178906_78.920546,MH-001,1,0.97170526,1,TP
MH-001_21.178906_78.920816,MH-001,1,0.96129686,1,TP
MH-001_21.178906_78.921085,MH-001,1,0.9124468,1,TP
MH-001_21.178906_78.921355,MH-001,1,0.90994376,1,TP
MH-001_21.178906_78.921624,MH-001,1,0.8903551,1,TP
MH-001_21.178906_78.921894,MH-001,1,0.7810827,1,TP
MH-001_21.178906_78.922163,MH-001,1,0.7046483,1,TP
MH-001_21.178906_78.922433,MH-001,1,0.7049709,1,TP
MH-001_21.178906_78.922702,MH-001,1,0.5984249,1,TP
MH-001_21.178906_78.923241,MH-001,1,0.5358671,1,TP
MH-001_21.178906_78.92351,MH-001,1,0.2566421,1,TP
MH-001_21.178906_78.924049,MH-001,1,0.08286764,0,FN
MH-001_21.178906_78.924319,MH-001,0,0.1628212,1,FP
MH-001_21.178906_78.924858,MH-001,1,0.6639142,1,TP
MH-001_21.178906_78.925397,MH-001,1,0.8380298,1,TP
MH-001_21.178906_78.925666,MH-001,1,0.9163042,1,TP
MH-001_21.178906_78.925936,MH-001,0,0.76467174,1,FP
MH-001_21.178906_78.926205,MH-001,1,0.7791844,1,TP
MH-001_21.178906_78.926475,MH-001,1,0.33089098,1,TP
MH-001_21.178636_78.914617,MH-001,0,0.014684944,0,TN
MH-001_21.178636_78.914887,MH-001,0,0.037435103,0,TN
MH-001_21.178636_78.915156,MH-001,0,0.028046796,0,TN
MH-001_21.178636_78.916504,MH-001,0,0.0015790113,0,TN
MH-001_21.178636_78.916773,MH-001,0,0.001340635,0,TN
MH-001_21.178636_78.917043,MH-001,0,0.0020532033,0,TN
MH-001_21.178636_78.917312,MH-001,0,0.0026284258,0,TN
MH-001_21.178636_78.917582,MH-001,0,0.0056153485,0,TN
MH-001_21.178636_78.917851,MH-001,0,0.005139477,0,TN
MH-001_21.178636_78.918121,MH-001,0,0.0053345626,0,TN
MH-001_21.178636_78.921355,MH-001,1,0.7549972,1,TP
MH-001_21.178636_78.921624,MH-001,0,0.7967632,1,FP
MH-001_21.178636_78.921894,MH-001,1,0.75808877,1,TP
MH-001_21.178636_78.922163,MH-001,1,0.70442784,1,TP
MH-001_21.178636_78.922433,MH-001,1,0.7453147,1,TP
MH-001_21.178636_78.922702,MH-001,0,0.5840936,1,FP
MH-001_21.178636_78.923241,MH-001,1,0.3083859,1,TP
MH-001_21.178636_78.92351,MH-001,1,0.09151007,0,FN
MH-001_21.178636_78.924049,MH-001,1,0.07007131,0,FN
MH-001_21.178636_78.924319,MH-001,0,0.15277846,1,FP
MH-001_21.178636_78.924588,MH-001,0,0.17836502,1,FP
MH-001_21.178636_78.924858,MH-001,1,0.43412897,1,TP
MH-001_21.178636_78.925127,MH-001,1,0.5529049,1,TP
MH-001_21.178636_78.925666,MH-001,1,0.8048593,1,TP
MH-001_21.178367_78.914887,MH-001,0,0.03968836,0,TN
MH-001_21.178367_78.915156,MH-001,0,0.02352407,0,TN
MH-001_21.178367_78.915695,MH-001,0,0.009011285,0,TN
MH-001_21.178367_78.916773,MH-001,0,0.0006541892,0,TN
MH-001_21.178367_78.917043,MH-001,0,0.00090576237,0,TN
MH-001_21.178367_78.917312,MH-001,0,0.0016916163,0,TN
MH-001_21.178367_78.917582,MH-001,0,0.0025321697,0,TN
MH-001_21.178367_78.917851,MH-001,0,0.0036474373,0,TN
MH-001_21.178367_78.920277,MH-001,0,0.81994116,1,FP
MH-001_21.178367_78.921355,MH-001,1,0.79275346,1,TP
MH-001_21.178367_78.921624,MH-001,1,0.8731574,1,TP
MH-001_21.178367_78.921894,MH-001,1,0.86073613,1,TP
MH-001_21.178367_78.922163,MH-001,1,0.8559939,1,TP
MH-001_21.178367_78.922433,MH-001,0,0.8400271,1,FP
MH-001_21.178367_78.922702,MH-001,0,0.7771557,1,FP
MH-001_21.178367_78.92351,MH-001,0,0.15126154,1,FP
MH-001_21.178367_78.92378,MH-001,0,0.066030525,0,TN
MH-001_21.178367_78.924049,MH-001,0,0.057613768,0,TN
MH-001_21.178367_78.924319,MH-001,0,0.06556569,0,TN
MH-001_21.178367_78.924858,MH-001,0,0.09886021,0,TN
MH-001_21.178367_78.926475,MH-001,1,0.090604514,0,FN
MH-001_21.178097_78.914617,MH-001,0,0.029458119,0,TN
MH-001_21.178097_78.914887,MH-001,0,0.088061735,0,TN
MH-001_21.178097_78.915426,MH-001,0,0.080233075,0,TN
MH-001_21.178097_78.915695,MH-001,0,0.05127018,0,TN
MH-001_21.178097_78.916773,MH-001,0,0.0014439278,0,TN
MH-001_21.178097_78.917312,MH-001,0,0.0034660923,0,TN
MH-001_21.178097_78.917582,MH-001,0,0.0059002605,0,TN
MH-001_21.178097_78.917851,MH-001,0,0.004776315,0,TN
MH-001_21.178097_78.918121,MH-001,0,0.0039073965,0,TN
MH-001_21.178097_78.91839,MH-001,0,0.0061658937,0,TN
MH-001_21.178097_78.920277,MH-001,0,0.46286622,1,FP
MH-001_21.178097_78.920546,MH-001,0,0.7382042,1,FP
MH-001_21.178097_78.920816,MH-001,0,0.6861284,1,FP
MH-001_21.178097_78.921355,MH-001,0,0.73524845,1,FP
MH-001_21.178097_78.921624,MH-001,0,0.86263937,1,FP
MH-001_21.178097_78.921894,MH-001,1,0.87083596,1,TP
MH-001_21.178097_78.922163,MH-001,0,0.9150436,1,FP
MH-001_21.178097_78.922433,MH-001,0,0.8954983,1,FP
MH-001_21.178097_78.922702,MH-001,0,0.8471684,1,FP
MH-001_21.178097_78.922972,MH-001,0,0.7333935,1,FP
MH-001_21.178097_78.92378,MH-001,0,0.25035834,1,FP
MH-001_21.178097_78.924049,MH-001,0,0.09937534,0,TN
MH-001_21.178097_78.926475,MH-001,0,0.04619885,0,TN
MH-001_21.177828_78.914617,MH-001,0,0.053476524,0,TN
MH-001_21.177828_78.914887,MH-001,0,0.11560599,1,FP
MH-001_21.177828_78.915156,MH-001,0,0.13010319,1,FP
MH-001_21.177828_78.915426,MH-001,0,0.10577468,1,FP
MH-001_21.177828_78.915695,MH-001,0,0.10139694,1,FP
MH-001_21.177828_78.917851,MH-001,0,0.024841318,0,TN
MH-001_21.177828_78.918121,MH-001,0,0.022257471,0,TN
MH-001_21.177828_78.920277,MH-001,0,0.21363486,1,FP
MH-001_21.177828_78.920546,MH-001,0,0.28240713,1,FP
MH-001_21.177828_78.921355,MH-001,0,0.43961072,1,FP
MH-001_21.177828_78.921624,MH-001,0,0.6138087,1,FP
MH-001_21.177828_78.921894,MH-001,0,0.73356885,1,FP
MH-001_21.177828_78.922163,MH-001,1,0.8419379,1,TP
MH-001_21.177828_78.922433,MH-001,1,0.87185365,1,TP
MH-001_21.177828_78.922702,MH-001,1,0.87749225,1,TP
MH-001_21.177828_78.922972,MH-001,1,0.7716174,1,TP
MH-001_21.177828_78.92378,MH-001,1,0.44216278,1,TP
MH-001_21.177828_78.924049,MH-001,0,0.19458406,1,FP
MH-001_21.177828_78.924588,MH-001,0,0.04713025,0,TN
MH-001_21.177828_78.924858,MH-001,0,0.062765405,0,TN
MH-001_21.177828_78.925127,MH-001,1,0.06612584,0,FN
MH-001_21.177828_78.926475,MH-001,1,0.02848906,0,FN
MH-001_21.177558_78.914617,MH-001,0,0.056883402,0,TN
MH-001_21.177558_78.915156,MH-001,0,0.16811962,1,FP
MH-001_21.177558_78.915426,MH-001,0,0.077142306,0,TN
MH-001_21.177558_78.915695,MH-001,0,0.07435633,0,TN
MH-001_21.177558_78.915965,MH-001,0,0.03259524,0,TN
MH-001_21.177558_78.918121,MH-001,0,0.046741273,0,TN
MH-001_21.177558_78.91839,MH-001,0,0.054070607,0,TN
MH-001_21.177558_78.918929,MH-001,0,0.06283385,0,TN
MH-001_21.177558_78.919199,MH-001,0,0.06482121,0,TN
MH-001_21.177558_78.919468,MH-001,0,0.11024087,1,FP
MH-001_21.177558_78.919738,MH-001,0,0.18667743,1,FP
MH-001_21.177558_78.920546,MH-001,0,0.1631278,1,FP
MH-001_21.177558_78.921355,MH-001,0,0.2650694,1,FP
MH-001_21.177558_78.921624,MH-001,0,0.39250582,1,FP
MH-001_21.177558_78.921894,MH-001,0,0.6485364,1,FP
MH-001_21.177558_78.922163,MH-001,1,0.8298308,1,TP
MH-001_21.177558_78.922433,MH-001,1,0.9008831,1,TP
MH-001_21.177558_78.922702,MH-001,1,0.912436,1,TP
MH-001_21.177558_78.922972,MH-001,1,0.82655895,1,TP
MH-001_21.177558_78.923241,MH-001,1,0.7439441,1,TP
MH-001_21.177558_78.92351,MH-001,0,0.5935114,1,FP
MH-001_21.177558_78.924319,MH-001,1,0.044656035,0,FN
MH-001_21.177558_78.924588,MH-001,0,0.04658446,0,TN
MH-001_21.177558_78.924858,MH-001,1,0.07272092,0,FN
MH-001_21.177558_78.925127,MH-001,1,0.11166457,1,TP
MH-001_21.177558_78.925397,MH-001,0,0.08642957,0,TN
MH-001_21.177558_78.925666,MH-001,0,0.08944072,0,TN
MH-001_21.177289_78.914887,MH-001,0,0.2894146,1,FP
MH-001_21.177289_78.915156,MH-001,0,0.32438183,1,FP
MH-001_21.177289_78.915426,MH-001,0,0.14310668,1,FP
MH-001_21.177289_78.916773,MH-001,0,0.0096436115,0,TN
MH-001_21.177289_78.917851,MH-001,0,0.13239911,1,FP
MH-001_21.177289_78.918121,MH-001,0,0.17930156,1,FP
MH-001_21.177289_78.91839,MH-001,1,0.15723297,1,TP
MH-001_21.177289_78.919199,MH-001,0,0.11872248,1,FP
MH-001_21.177289_78.919468,MH-001,0,0.10160505,1,FP
MH-001_21.177289_78.919738,MH-001,0,0.090654105,0,TN
MH-001_21.177289_78.920007,MH-001,0,0.1213474,1,FP
MH-001_21.177289_78.921355,MH-001,0,0.2478551,1,FP
MH-001_21.177289_78.921624,MH-001,0,0.3860829,1,FP
MH-001_21.177289_78.921894,MH-001,0,0.7117967,1,FP
MH-001_21.177289_78.922163,MH-001,0,0.8936826,1,FP
MH-001_21.177289_78.922433,MH-001,0,0.93801993,1,FP
MH-001_21.177289_78.922702,MH-001,0,0.91856474,1,FP
MH-001_21.177289_78.922972,MH-001,1,0.84037846,1,TP
MH-001_21.177289_78.923241,MH-001,0,0.67966896,1,FP
MH-001_21.177289_78.92351,MH-001,0,0.5735947,1,FP
MH-001_21.177289_78.92378,MH-001,0,0.41915712,1,FP
MH-001_21.177289_78.924049,MH-001,0,0.23778574,1,FP
MH-001_21.177289_78.924319,MH-001,0,0.11612878,1,FP
MH-001_21.177289_78.924588,MH-001,0,0.09025247,0,TN
MH-001_21.177289_78.924858,MH-001,1,0.07569354,0,FN
MH-001_21.177289_78.925397,MH-001,0,0.062052995,0,TN
MH-001_21.177019_78.914617,MH-001,0,0.3076822,1,FP
MH-001_21.177019_78.914887,MH-001,0,0.35180905,1,FP
MH-001_21.177019_78.915156,MH-001,0,0.4415951,1,FP
MH-001_21.177019_78.915426,MH-001,0,0.11956622,1,FP
MH-001_21.177019_78.915695,MH-001,1,0.09623335,0,FN
MH-001_21.177019_78.917851,MH-001,0,0.07834351,0,TN
MH-001_21.177019_78.918121,MH-001,0,0.08003807,0,TN
MH-001_21.177019_78.919199,MH-001,0,0.2435242,1,FP
MH-001_21.177019_78.919468,MH-001,0,0.2989298,1,FP
MH-001_21.177019_78.919738,MH-001,0,0.2513931,1,FP
MH-001_21.177019_78.920007,MH-001,0,0.30851233,1,FP
MH-001_21.177019_78.921355,MH-001,0,0.04497618,0,TN
MH-001_21.177019_78.921624,MH-001,0,0.11014159,1,FP
MH-001_21.177019_78.921894,MH-001,0,0.74632937,1,FP
MH-001_21.177019_78.922163,MH-001,0,0.9032845,1,FP
MH-001_21.177019_78.922433,MH-001,0,0.95926636,1,FP
MH-001_21.177019_78.922702,MH-001,0,0.9356177,1,FP
MH-001_21.177019_78.922972,MH-001,0,0.8638217,1,FP
MH-001_21.177019_78.923241,MH-001,0,0.73945343,1,FP
MH-001_21.177019_78.92351,MH-001,1,0.5558826,1,TP
MH-001_21.177019_78.92378,MH-001,1,0.4335933,1,TP
MH-001_21.177019_78.924049,MH-001,0,0.31247833,1,FP
MH-001_21.177019_78.924319,MH-001,0,0.21890542,1,FP
MH-001_21.177019_78.924588,MH-001,0,0.12670906,1,FP
MH-001_21.177019_78.925127,MH-001,1,0.09654096,0,FN
MH-001_21.177019_78.925397,MH-001,0,0.08192427,0,TN
MH-001_21.17675_78.914887,MH-001,0,0.5831108,1,FP
MH-001_21.17675_78.915156,MH-001,0,0.53903866,1,FP
MH-001_21.17675_78.915426,MH-001,0,0.1281329,1,FP
MH-001_21.17675_78.915695,MH-001,0,0.088713765,0,TN
MH-001_21.17675_78.915965,MH-001,0,0.025790332,0,TN
MH-001_21.17675_78.916234,MH-001,0,0.012737301,0,TN
MH-001_21.17675_78.916504,MH-001,0,0.005508822,0,TN
MH-001_21.17675_78.917043,MH-001,0,0.0044496236,0,TN
MH-001_21.17675_78.917582,MH-001,0,0.0241409,0,TN
MH-001_21.17675_78.917851,MH-001,0,0.046961013,0,TN
MH-001_21.17675_78.918121,MH-001,0,0.053377315,0,TN
MH-001_21.17675_78.91839,MH-001,0,0.070666134,0,TN
MH-001_21.17675_78.919738,MH-001,0,0.14138411,1,FP
MH-001_21.17675_78.920007,MH-001,0,0.12591943,1,FP
MH-001_21.17675_78.921894,MH-001,0,0.39145198,1,FP
MH-001_21.17675_78.922702,MH-001,0,0.9453667,1,FP
MH-001_21.17675_78.922972,MH-001,1,0.8916071,1,TP
MH-001_21.17675_78.924319,MH-001,0,0.3406956,1,FP
MH-001_21.17675_78.924858,MH-001,0,0.0880755,0,TN
MH-001_21.17675_78.925127,MH-001,0,0.068155155,0,TN
MH-001_21.17675_78.925397,MH-001,0,0.058696482,0,TN
MH-001_21.17675_78.926205,MH-001,0,0.057349823,0,TN
MH-001_21.17648_78.914887,MH-001,0,0.79642904,1,FP
MH-001_21.17648_78.915156,MH-001,0,0.62851655,1,FP
MH-001_21.17648_78.915426,MH-001,0,0.24964897,1,FP
MH-001_21.17648_78.915695,MH-001,0,0.1482704,1,FP
MH-001_21.17648_78.915965,MH-001,0,0.052095093,0,TN
MH-001_21.17648_78.916234,MH-001,0,0.022136666,0,TN
MH-001_21.17648_78.916504,MH-001,0,0.008613093,0,TN
MH-001_21.17648_78.917043,MH-001,0,0.006203059,0,TN
MH-001_21.17648_78.917582,MH-001,0,0.015475173,0,TN
MH-001_21.17648_78.917851,MH-001,0,0.037414674,0,TN
MH-001_21.17648_78.918121,MH-001,0,0.018393677,0,TN
MH-001_21.17648_78.919468,MH-001,0,0.06746524,0,TN
MH-001_21.17648_78.923241,MH-001,1,0.9603103,1,TP
MH-001_21.17648_78.92378,MH-001,1,0.688012,1,TP
MH-001_21.17648_78.924049,MH-001,0,0.46852842,1,FP
MH-001_21.17648_78.924319,MH-001,0,0.39093804,1,FP
MH-001_21.17648_78.924588,MH-001,0,0.23539765,1,FP
MH-001_21.17648_78.926205,MH-001,0,0.07051866,0,TN
MH-001_21.176211_78.915156,MH-001,0,0.75010765,1,FP
MH-001_21.176211_78.915426,MH-001,0,0.3342434,1,FP
MH-001_21.176211_78.915695,MH-001,0,0.24043858,1,FP
MH-001_21.176211_78.915965,MH-001,0,0.08823723,0,TN
MH-001_21.176211_78.916234,MH-001,0,0.037840493,0,TN
MH-001_21.176211_78.916504,MH-001,0,0.010694822,0,TN
MH-001_21.176211_78.917312,MH-001,0,0.0062744375,0,TN
MH-001_21.176211_78.917851,MH-001,0,0.0168951,0,TN
MH-001_21.176211_78.918121,MH-001,0,0.0132951075,0,TN
MH-001_21.176211_78.921085,MH-001,0,0.11642961,1,FP
MH-001_21.176211_78.921355,MH-001,0,0.080649234,0,TN
MH-001_21.176211_78.922433,MH-001,0,0.9516667,1,FP
MH-001_21.176211_78.922972,MH-001,1,0.93814284,1,TP
MH-001_21.176211_78.92351,MH-001,1,0.8318658,1,TP
MH-001_21.176211_78.92378,MH-001,1,0.73407924,1,TP
MH-001_21.176211_78.924049,MH-001,1,0.5062489,1,TP
MH-001_21.176211_78.924319,MH-001,0,0.5336891,1,FP
MH-001_21.176211_78.924588,MH-001,0,0.4061134,1,FP
MH-001_21.176211_78.924858,MH-001,0,0.21528535,1,FP
MH-001_21.176211_78.925397,MH-001,0,0.22202902,1,FP
MH-001_21.176211_78.925936,MH-001,0,0.16095737,1,FP
MH-001_21.175941_78.915426,MH-001,0,0.7959001,1,FP
MH-001_21.175941_78.915695,MH-001,0,0.71092755,1,FP
MH-001_21.175941_78.915965,MH-001,0,0.27867258,1,FP
MH-001_21.175941_78.916234,MH-001,0,0.14785206,1,FP
MH-001_21.175941_78.916504,MH-001,0,0.041565422,0,TN
MH-001_21.175941_78.917312,MH-001,0,0.007448087,0,TN
MH-001_21.175941_78.918121,MH-001,0,0.006905087,0,TN
MH-001_21.175941_78.91839,MH-001,0,0.0067925984,0,TN
MH-001_21.175941_78.91866,MH-001,0,0.0050121793,0,TN
MH-001_21.175941_78.919468,MH-001,0,0.0073468597,0,TN
MH-001_21.175941_78.919738,MH-001,0,0.015272397,0,TN
MH-001_21.175941_78.923241,MH-001,1,0.904179,1,TP
MH-001_21.175941_78.92351,MH-001,1,0.8234524,1,TP
MH-001_21.175941_78.92378,MH-001,1,0.6963724,1,TP
MH-001_21.175941_78.924049,MH-001,0,0.5202101,1,FP
MH-001_21.175941_78.924319,MH-001,0,0.4764288,1,FP
MH-001_21.175941_78.924588,MH-001,0,0.32841858,1,FP
MH-001_21.175941_78.924858,MH-001,0,0.260212,1,FP
MH-001_21.175941_78.925397,MH-001,0,0.20251635,1,FP
MH-001_21.175941_78.925936,MH-001,0,0.12381677,1,FP
MH-001_21.175941_78.926205,MH-001,0,0.23182635,1,FP
MH-001_21.175672_78.916234,MH-001,1,0.21018313,1,TP
MH-001_21.175672_78.916504,MH-001,1,0.056005016,0,FN
MH-001_21.175672_78.916773,MH-001,1,0.01884782,0,FN
MH-001_21.175672_78.917312,MH-001,1,0.005758966,0,FN
MH-001_21.175672_78.918121,MH-001,0,0.005675766,0,TN
MH-001_21.175672_78.91839,MH-001,0,0.0051087416,0,TN
MH-001_21.175672_78.91866,MH-001,0,0.006149663,0,TN
MH-001_21.175672_78.919199,MH-001,0,0.0057287365,0,TN
MH-001_21.175672_78.919468,MH-001,0,0.004622251,0,TN
MH-001_21.175672_78.919738,MH-001,0,0.010368529,0,TN
MH-001_21.175672_78.920007,MH-001,1,0.021169838,0,FN
MH-001_21.175672_78.920277,MH-001,0,0.04359733,0,TN
MH-001_21.175672_78.920816,MH-001,0,0.14086966,1,FP
MH-001_21.175672_78.921085,MH-001,0,0.34596407,1,FP
MH-001_21.175672_78.921355,MH-001,0,0.4780494,1,FP
MH-001_21.175672_78.923241,MH-001,1,0.85225564,1,TP
MH-001_21.175672_78.92351,MH-001,1,0.5383554,1,TP
MH-001_21.175672_78.92378,MH-001,1,0.36893305,1,TP
MH-001_21.175672_78.924049,MH-001,0,0.21324083,1,FP
MH-001_21.175672_78.924319,MH-001,0,0.11751985,1,FP
MH-001_21.175672_78.924588,MH-001,0,0.09707541,0,TN
MH-001_21.175672_78.924858,MH-001,0,0.100924216,1,FP
MH-001_21.175672_78.925397,MH-001,0,0.13672687,1,FP
MH-001_21.175672_78.925666,MH-001,0,0.14355727,1,FP
MH-001_21.175672_78.926475,MH-001,0,0.21433172,1,FP
MH-001_21.175402_78.915426,MH-001,0,0.88871497,1,FP
MH-001_21.175402_78.915695,MH-001,0,0.8258693,1,FP
MH-001_21.175402_78.916504,MH-001,1,0.093520455,0,FN
MH-001_21.175402_78.916773,MH-001,1,0.023451958,0,FN
MH-001_21.175402_78.917312,MH-001,1,0.0136239175,0,FN
MH-001_21.175402_78.918121,MH-001,0,0.008015697,0,TN
MH-001_21.175402_78.91839,MH-001,0,0.0077675222,0,TN
MH-001_21.175402_78.91866,MH-001,0,0.009261198,0,TN
MH-001_21.175402_78.918929,MH-001,0,0.008484654,0,TN
MH-001_21.175402_78.919199,MH-001,0,0.009755391,0,TN
MH-001_21.175402_78.919468,MH-001,0,0.0069220816,0,TN
MH-001_21.175402_78.919738,MH-001,0,0.017401222,0,TN
MH-001_21.175402_78.920007,MH-001,0,0.020925969,0,TN
MH-001_21.175402_78.920277,MH-001,0,0.03961436,0,TN
MH-001_21.175402_78.920546,MH-001,0,0.059325542,0,TN
MH-001_21.175402_78.921085,MH-001,0,0.38234088,1,FP
MH-001_21.175402_78.921355,MH-001,0,0.42197338,1,FP
MH-001_21.175402_78.921624,MH-001,0,0.46653593,1,FP
MH-001_21.175402_78.922163,MH-001,0,0.22720297,1,FP
MH-001_21.175402_78.92351,MH-001,1,0.06976979,0,FN
MH-001_21.175402_78.92378,MH-001,0,0.07082466,0,TN
MH-001_21.175402_78.924049,MH-001,0,0.041425373,0,TN
MH-001_21.175402_78.925127,MH-001,0,0.061460495,0,TN
MH-001_21.175402_78.925397,MH-001,0,0.07244459,0,TN
MH-001_21.175402_78.925666,MH-001,0,0.06665367,0,TN
MH-001_21.175133_78.916234,MH-001,1,0.2338546,1,TP
MH-001_21.175133_78.916773,MH-001,1,0.024866385,0,FN
MH-001_21.175133_78.917851,MH-001,0,0.016122287,0,TN
MH-001_21.175133_78.918121,MH-001,0,0.011342122,0,TN
MH-001_21.175133_78.91839,MH-001,0,0.0147198215,0,TN
MH-001_21.175133_78.919738,MH-001,0,0.034212958,0,TN
MH-001_21.175133_78.920007,MH-001,0,0.026129099,0,TN
