patch_index,sample_id,project_id,project_name,year,center_row,center_col,center_latitude,center_longitude,spatial_block,original_feature6_split,cnn_spatial_split,candidate_category,target
52,MH-001_2021_R008_C033,MH-001,Gondkhari,2021,8,33,21.179714,78.921624,MH-001_C5,train,cnn_test,2,1
53,MH-001_2021_R008_C034,MH-001,Gondkhari,2021,8,34,21.179714,78.921894,MH-001_C5,train,cnn_test,2,1
54,MH-001_2021_R008_C036,MH-001,Gondkhari,2021,8,36,21.179714,78.922433,MH-001_C5,train,cnn_test,2,1
55,MH-001_2021_R008_C038,MH-001,Gondkhari,2021,8,38,21.179714,78.922972,MH-001_C5,train,cnn_test,1,0
56,MH-001_2021_R008_C039,MH-001,Gondkhari,2021,8,39,21.179714,78.923241,MH-001_C5,train,cnn_test,2,1
57,MH-001_2021_R008_C040,MH-001,Gondkhari,2021,8,40,21.179714,78.92351,MH-001_C6,train,cnn_test,0,0
58,MH-001_2021_R008_C041,MH-001,Gondkhari,2021,8,41,21.179714,78.92378,MH-001_C6,train,cnn_test,2,1
59,MH-001_2021_R008_C042,MH-001,Gondkhari,2021,8,42,21.179714,78.924049,MH-001_C6,train,cnn_test,0,0
60,MH-001_2021_R008_C043,MH-001,Gondkhari,2021,8,43,21.179714,78.924319,MH-001_C6,train,cnn_test,1,0
61,MH-001_2021_R008_C044,MH-001,Gondkhari,2021,8,44,21.179714,78.924588,MH-001_C6,train,cnn_test,2,1
62,MH-001_2021_R008_C045,MH-001,Gondkhari,2021,8,45,21.179714,78.924858,MH-001_C6,train,cnn_test,0,0
63,MH-001_2021_R008_C046,MH-001,Gondkhari,2021,8,46,21.179714,78.925127,MH-001_C7,train,cnn_test,0,0
64,MH-001_2021_R009_C007,MH-001,Gondkhari,2021,9,7,21.179445,78.914617,MH-001_C0,train,cnn_test,1,0
65,MH-001_2021_R009_C008,MH-001,Gondkhari,2021,9,8,21.179445,78.914887,MH-001_C1,train,cnn_test,1,0
66,MH-001_2021_R009_C009,MH-001,Gondkhari,2021,9,9,21.179445,78.915156,MH-001_C1,train,cnn_test,0,0
67,MH-001_2021_R009_C010,MH-001,Gondkhari,2021,9,10,21.179445,78.915426,MH-001_C1,train,cnn_test,0,0
68,MH-001_2021_R009_C011,MH-001,Gondkhari,2021,9,11,21.179445,78.915695,MH-001_C1,train,cnn_test,0,0
69,MH-001_2021_R009_C012,MH-001,Gondkhari,2021,9,12,21.179445,78.915965,MH-001_C1,train,cnn_test,0,0
70,MH-001_2021_R009_C013,MH-001,Gondkhari,2021,9,13,21.179445,78.916234,MH-001_C1,train,cnn_test,0,0
71,MH-001_2021_R009_C015,MH-001,Gondkhari,2021,9,15,21.179445,78.916773,MH-001_C2,train,cnn_test,0,0
72,MH-001_2021_R009_C016,MH-001,Gondkhari,2021,9,16,21.179445,78.917043,MH-001_C2,train,cnn_test,1,0
73,MH-001_2021_R009_C019,MH-001,Gondkhari,2021,9,19,21.179445,78.917851,MH-001_C2,train,cnn_test,2,1
74,MH-001_2021_R009_C020,MH-001,Gondkhari,2021,9,20,21.179445,78.918121,MH-001_C2,train,cnn_test,1,0
75,MH-001_2021_R009_C021,MH-001,Gondkhari,2021,9,21,21.179445,78.91839,MH-001_C3,train,cnn_test,3,1
76,MH-001_2021_R009_C022,MH-001,Gondkhari,2021,9,22,21.179445,78.91866,MH-001_C3,train,cnn_test,2,1
77,MH-001_2021_R009_C026,MH-001,Gondkhari,2021,9,26,21.179445,78.919738,MH-001_C3,train,cnn_test,2,1
78,MH-001_2021_R009_C027,MH-001,Gondkhari,2021,9,27,21.179445,78.920007,MH-001_C4,train,cnn_test,2,1
79,MH-001_2021_R009_C028,MH-001,Gondkhari,2021,9,28,21.179445,78.920277,MH-001_C4,train,cnn_test,0,0
80,MH-001_2021_R009_C029,MH-001,Gondkhari,2021,9,29,21.179445,78.920546,MH-001_C4,train,cnn_test,2,1
81,MH-001_2021_R009_C030,MH-001,Gondkhari,2021,9,30,21.179445,78.920816,MH-001_C4,train,cnn_test,3,1
82,MH-001_2021_R009_C031,MH-001,Gondkhari,2021,9,31,21.179445,78.921085,MH-001_C4,train,cnn_test,3,1
83,MH-001_2021_R009_C032,MH-001,Gondkhari,2021,9,32,21.179445,78.921355,MH-001_C4,train,cnn_test,2,1
84,MH-001_2021_R009_C033,MH-001,Gondkhari,2021,9,33,21.179445,78.921624,MH-001_C5,train,cnn_test,2,1
85,MH-001_2021_R009_C034,MH-001,Gondkhari,2021,9,34,21.179445,78.921894,MH-001_C5,train,cnn_test,2,1
86,MH-001_2021_R009_C035,MH-001,Gondkhari,2021,9,35,21.179445,78.922163,MH-001_C5,train,cnn_test,2,1
87,MH-001_2021_R009_C037,MH-001,Gondkhari,2021,9,37,21.179445,78.922702,MH-001_C5,train,cnn_test,2,1
88,MH-001_2021_R009_C038,MH-001,Gondkhari,2021,9,38,21.179445,78.922972,MH-001_C5,train,cnn_test,2,1
89,MH-001_2021_R009_C039,MH-001,Gondkhari,2021,9,39,21.179445,78.923241,MH-001_C5,train,cnn_test,2,1
90,MH-001_2021_R009_C040,MH-001,Gondkhari,2021,9,40,21.179445,78.92351,MH-001_C6,train,cnn_test,2,1
91,MH-001_2021_R009_C041,MH-001,Gondkhari,2021,9,41,21.179445,78.92378,MH-001_C6,train,cnn_test,2,1
92,MH-001_2021_R009_C042,MH-001,Gondkhari,2021,9,42,21.179445,78.924049,MH-001_C6,train,cnn_test,1,0
93,MH-001_2021_R009_C043,MH-001,Gondkhari,2021,9,43,21.179445,78.924319,MH-001_C6,train,cnn_test,1,0
94,MH-001_2021_R009_C044,MH-001,Gondkhari,2021,9,44,21.179445,78.924588,MH-001_C6,train,cnn_test,1,0
95,MH-001_2021_R009_C045,MH-001,Gondkhari,2021,9,45,21.179445,78.924858,MH-001_C6,train,cnn_test,2,1
96,MH-001_2021_R009_C046,MH-001,Gondkhari,2021,9,46,21.179445,78.925127,MH-001_C7,train,cnn_test,2,1
97,MH-001_2021_R009_C047,MH-001,Gondkhari,2021,9,47,21.179445,78.925397,MH-001_C7,train,cnn_test,0,0
98,MH-001_2021_R009_C048,MH-001,Gondkhari,2021,9,48,21.179445,78.925666,MH-001_C7,train,cnn_test,0,0
99,MH-001_2021_R009_C049,MH-001,Gondkhari,2021,9,49,21.179445,78.925936,MH-001_C7,train,cnn_test,0,0
100,MH-001_2021_R010_C007,MH-001,Gondkhari,2021,10,7,21.179175,78.914617,MH-001_C0,train,cnn_test,0,0
101,MH-001_2021_R010_C008,MH-001,Gondkhari,2021,10,8,21.179175,78.914887,MH-001_C1,train,cnn_test,0,0
102,MH-001_2021_R010_C009,MH-001,Gondkhari,2021,10,9,21.179175,78.915156,MH-001_C1,train,cnn_test,0,0
103,MH-001_2021_R010_C010,MH-001,Gondkhari,2021,10,10,21.179175,78.915426,MH-001_C1,train,cnn_test,0,0
104,MH-001_2021_R010_C011,MH-001,Gondkhari,2021,10,11,21.179175,78.915695,MH-001_C1,train,cnn_test,0,0
105,MH-001_2021_R010_C012,MH-001,Gondkhari,2021,10,12,21.179175,78.915965,MH-001_C1,train,cnn_test,0,0
106,MH-001_2021_R010_C014,MH-001,Gondkhari,2021,10,14,21.179175,78.916504,MH-001_C2,train,cnn_test,0,0
107,MH-001_2021_R010_C015,MH-001,Gondkhari,2021,10,15,21.179175,78.916773,MH-001_C2,train,cnn_test,0,0
108,MH-001_2021_R010_C016,MH-001,Gondkhari,2021,10,16,21.179175,78.917043,MH-001_C2,train,cnn_test,1,0
109,MH-001_2021_R010_C017,MH-001,Gondkhari,2021,10,17,21.179175,78.917312,MH-001_C2,train,cnn_test,0,0
110,MH-001_2021_R010_C020,MH-001,Gondkhari,2021,10,20,21.179175,78.918121,MH-001_C2,train,cnn_test,2,1
111,MH-001_2021_R010_C021,MH-001,Gondkhari,2021,10,21,21.179175,78.91839,MH-001_C3,train,cnn_test,3,1
112,MH-001_2021_R010_C022,MH-001,Gondkhari,2021,10,22,21.179175,78.91866,MH-001_C3,train,cnn_test,1,0
113,MH-001_2021_R010_C023,MH-001,Gondkhari,2021,10,23,21.179175,78.918929,MH-001_C3,train,cnn_test,1,0
114,MH-001_2021_R010_C024,MH-001,Gondkhari,2021,10,24,21.179175,78.919199,MH-001_C3,train,cnn_test,0,0
115,MH-001_2021_R010_C025,MH-001,Gondkhari,2021,10,25,21.179175,78.919468,MH-001_C3,train,cnn_test,1,0
116,MH-001_2021_R010_C026,MH-001,Gondkhari,2021,10,26,21.179175,78.919738,MH-001_C3,train,cnn_test,2,1
117,MH-001_2021_R010_C027,MH-001,Gondkhari,2021,10,27,21.179175,78.920007,MH-001_C4,train,cnn_test,2,1
118,MH-001_2021_R010_C028,MH-001,Gondkhari,2021,10,28,21.179175,78.920277,MH-001_C4,train,cnn_test,1,0
119,MH-001_2021_R010_C029,MH-001,Gondkhari,2021,10,29,21.179175,78.920546,MH-001_C4,train,cnn_test,2,1
120,MH-001_2021_R010_C030,MH-001,Gondkhari,2021,10,30,21.179175,78.920816,MH-001_C4,train,cnn_test,3,1
121,MH-001_2021_R010_C031,MH-001,Gondkhari,2021,10,31,21.179175,78.921085,MH-001_C4,train,cnn_test,3,1
122,MH-001_2021_R010_C032,MH-001,Gondkhari,2021,10,32,21.179175,78.921355,MH-001_C4,train,cnn_test,3,1
123,MH-001_2021_R010_C033,MH-001,Gondkhari,2021,10,33,21.179175,78.921624,MH-001_C5,train,cnn_test,3,1
124,MH-001_2021_R010_C034,MH-001,Gondkhari,2021,10,34,21.179175,78.921894,MH-001_C5,train,cnn_test,2,1
125,MH-001_2021_R010_C035,MH-001,Gondkhari,2021,10,35,21.179175,78.922163,MH-001_C5,train,cnn_test,0,0
126,MH-001_2021_R010_C036,MH-001,Gondkhari,2021,10,36,21.179175,78.922433,MH-001_C5,train,cnn_test,2,1
127,MH-001_2021_R010_C037,MH-001,Gondkhari,2021,10,37,21.179175,78.922702,MH-001_C5,train,cnn_test,0,0
128,MH-001_2021_R010_C038,MH-001,Gondkhari,2021,10,38,21.179175,78.922972,MH-001_C5,train,cnn_test,2,1
129,MH-001_2021_R010_C039,MH-001,Gondkhari,2021,10,39,21.179175,78.923241,MH-001_C5,train,cnn_test,2,1
130,MH-001_2021_R010_C040,MH-001,Gondkhari,2021,10,40,21.179175,78.92351,MH-001_C6,train,cnn_test,2,1
131,MH-001_2021_R010_C041,MH-001,Gondkhari,2021,10,41,21.179175,78.92378,MH-001_C6,train,cnn_test,2,1
132,MH-001_2021_R010_C042,MH-001,Gondkhari,2021,10,42,21.179175,78.924049,MH-001_C6,train,cnn_test,1,0
133,MH-001_2021_R010_C043,MH-001,Gondkhari,2021,10,43,21.179175,78.924319,MH-001_C6,train,cnn_test,0,0
134,MH-001_2021_R010_C044,MH-001,Gondkhari,2021,10,44,21.179175,78.924588,MH-001_C6,train,cnn_test,0,0
135,MH-001_2021_R010_C045,MH-001,Gondkhari,2021,10,45,21.179175,78.924858,MH-001_C6,train,cnn_test,2,1
136,MH-001_2021_R010_C046,MH-001,Gondkhari,2021,10,46,21.179175,78.925127,MH-001_C7,train,cnn_test,2,1
137,MH-001_2021_R010_C047,MH-001,Gondkhari,2021,10,47,21.179175,78.925397,MH-001_C7,train,cnn_test,2,1
138,MH-001_2021_R010_C048,MH-001,Gondkhari,2021,10,48,21.179175,78.925666,MH-001_C7,train,cnn_test,2,1
139,MH-001_2021_R010_C049,MH-001,Gondkhari,2021,10,49,21.179175,78.925936,MH-001_C7,train,cnn_test,0,0
140,MH-001_2021_R010_C050,MH-001,Gondkhari,2021,10,50,21.179175,78.926205,MH-001_C7,train,cnn_test,0,0
141,MH-001_2021_R010_C051,MH-001,Gondkhari,2021,10,51,21.179175,78.926475,MH-001_C7,train,cnn_test,0,0
142,MH-001_2021_R011_C007,MH-001,Gondkhari,2021,11,7,21.178906,78.914617,MH-001_C0,train,cnn_test,0,0
143,MH-001_2021_R011_C008,MH-001,Gondkhari,2021,11,8,21.178906,78.914887,MH-001_C1,train,cnn_test,0,0
144,MH-001_2021_R011_C009,MH-001,Gondkhari,2021,11,9,21.178906,78.915156,MH-001_C1,train,cnn_test,0,0
145,MH-001_2021_R011_C010,MH-001,Gondkhari,2021,11,10,21.178906,78.915426,MH-001_C1,train,cnn_test,0,0
146,MH-001_2021_R011_C011,MH-001,Gondkhari,2021,11,11,21.178906,78.915695,MH-001_C1,train,cnn_test,0,0
147,MH-001_2021_R011_C012,MH-001,Gondkhari,2021,11,12,21.178906,78.915965,MH-001_C1,train,cnn_test,0,0
148,MH-001_2021_R011_C014,MH-001,Gondkhari,2021,11,14,21.178906,78.916504,MH-001_C2,train,cnn_test,1,0
149,MH-001_2021_R011_C015,MH-001,Gondkhari,2021,11,15,21.178906,78.916773,MH-001_C2,train,cnn_test,1,0
150,MH-001_2021_R011_C016,MH-001,Gondkhari,2021,11,16,21.178906,78.917043,MH-001_C2,train,cnn_test,1,0
151,MH-001_2021_R011_C017,MH-001,Gondkhari,2021,11,17,21.178906,78.917312,MH-001_C2,train,cnn_test,0,0
152,MH-001_2021_R011_C018,MH-001,Gondkhari,2021,11,18,21.178906,78.917582,MH-001_C2,train,cnn_test,0,0
153,MH-001_2021_R011_C019,MH-001,Gondkhari,2021,11,19,21.178906,78.917851,MH-001_C2,train,cnn_test,0,0
154,MH-001_2021_R011_C020,MH-001,Gondkhari,2021,11,20,21.178906,78.918121,MH-001_C2,train,cnn_test,1,0
155,MH-001_2021_R011_C022,MH-001,Gondkhari,2021,11,22,21.178906,78.91866,MH-001_C3,train,cnn_test,0,0
156,MH-001_2021_R011_C023,MH-001,Gondkhari,2021,11,23,21.178906,78.918929,MH-001_C3,train,cnn_test,0,0
157,MH-001_2021_R011_C024,MH-001,Gondkhari,2021,11,24,21.178906,78.919199,MH-001_C3,train,cnn_test,1,0
158,MH-001_2021_R011_C025,MH-001,Gondkhari,2021,11,25,21.178906,78.919468,MH-001_C3,train,cnn_test,1,0
159,MH-001_2021_R011_C026,MH-001,Gondkhari,2021,11,26,21.178906,78.919738,MH-001_C3,train,cnn_test,1,0
160,MH-001_2021_R011_C027,MH-001,Gondkhari,2021,11,27,21.178906,78.920007,MH-001_C4,train,cnn_test,0,0
161,MH-001_2021_R011_C028,MH-001,Gondkhari,2021,11,28,21.178906,78.920277,MH-001_C4,train,cnn_test,0,0
162,MH-001_2021_R011_C029,MH-001,Gondkhari,2021,11,29,21.178906,78.920546,MH-001_C4,train,cnn_test,2,1
163,MH-001_2021_R011_C030,MH-001,Gondkhari,2021,11,30,21.178906,78.920816,MH-001_C4,train,cnn_test,2,1
164,MH-001_2021_R011_C031,MH-001,Gondkhari,2021,11,31,21.178906,78.921085,MH-001_C4,train,cnn_test,2,1
165,MH-001_2021_R011_C032,MH-001,Gondkhari,2021,11,32,21.178906,78.921355,MH-001_C4,train,cnn_test,2,1
166,MH-001_2021_R011_C033,MH-001,Gondkhari,2021,11,33,21.178906,78.921624,MH-001_C5,train,cnn_test,2,1
167,MH-001_2021_R011_C034,MH-001,Gondkhari,2021,11,34,21.178906,78.921894,MH-001_C5,train,cnn_test,2,1
168,MH-001_2021_R011_C035,MH-001,Gondkhari,2021,11,35,21.178906,78.922163,MH-001_C5,train,cnn_test,2,1
169,MH-001_2021_R011_C036,MH-001,Gondkhari,2021,11,36,21.178906,78.922433,MH-001_C5,train,cnn_test,2,1
170,MH-001_2021_R011_C037,MH-001,Gondkhari,2021,11,37,21.178906,78.922702,MH-001_C5,train,cnn_test,2,1
171,MH-001_2021_R011_C038,MH-001,Gondkhari,2021,11,38,21.178906,78.922972,MH-001_C5,train,cnn_test,2,1
172,MH-001_2021_R011_C039,MH-001,Gondkhari,2021,11,39,21.178906,78.923241,MH-001_C5,train,cnn_test,2,1
173,MH-001_2021_R011_C040,MH-001,Gondkhari,2021,11,40,21.178906,78.92351,MH-001_C6,train,cnn_test,2,1
174,MH-001_2021_R011_C041,MH-001,Gondkhari,2021,11,41,21.178906,78.92378,MH-001_C6,train,cnn_test,3,1
175,MH-001_2021_R011_C042,MH-001,Gondkhari,2021,11,42,21.178906,78.924049,MH-001_C6,train,cnn_test,2,1
176,MH-001_2021_R011_C043,MH-001,Gondkhari,2021,11,43,21.178906,78.924319,MH-001_C6,train,cnn_test,1,0
177,MH-001_2021_R011_C044,MH-001,Gondkhari,2021,11,44,21.178906,78.924588,MH-001_C6,train,cnn_test,0,0
178,MH-001_2021_R011_C045,MH-001,Gondkhari,2021,11,45,21.178906,78.924858,MH-001_C6,train,cnn_test,2,1
179,MH-001_2021_R011_C046,MH-001,Gondkhari,2021,11,46,21.178906,78.925127,MH-001_C7,train,cnn_test,2,1
180,MH-001_2021_R011_C047,MH-001,Gondkhari,2021,11,47,21.178906,78.925397,MH-001_C7,train,cnn_test,2,1
181,MH-001_2021_R011_C048,MH-001,Gondkhari,2021,11,48,21.178906,78.925666,MH-001_C7,train,cnn_test,3,1
182,MH-001_2021_R011_C049,MH-001,Gondkhari,2021,11,49,21.178906,78.925936,MH-001_C7,train,cnn_test,1,0
183,MH-001_2021_R011_C050,MH-001,Gondkhari,2021,11,50,21.178906,78.926205,MH-001_C7,train,cnn_test,2,1
184,MH-001_2021_R011_C051,MH-001,Gondkhari,2021,11,51,21.178906,78.926475,MH-001_C7,train,cnn_test,2,1
185,MH-001_2021_R012_C007,MH-001,Gondkhari,2021,12,7,21.178636,78.914617,MH-001_C0,train,cnn_test,1,0
186,MH-001_2021_R012_C008,MH-001,Gondkhari,2021,12,8,21.178636,78.914887,MH-001_C1,train,cnn_test,0,0
187,MH-001_2021_R012_C009,MH-001,Gondkhari,2021,12,9,21.178636,78.915156,MH-001_C1,train,cnn_test,0,0
188,MH-001_2021_R012_C010,MH-001,Gondkhari,2021,12,10,21.178636,78.915426,MH-001_C1,train,cnn_test,0,0
189,MH-001_2021_R012_C011,MH-001,Gondkhari,2021,12,11,21.178636,78.915695,MH-001_C1,train,cnn_test,0,0
190,MH-001_2021_R012_C012,MH-001,Gondkhari,2021,12,12,21.178636,78.915965,MH-001_C1,train,cnn_test,0,0
191,MH-001_2021_R012_C014,MH-001,Gondkhari,2021,12,14,21.178636,78.916504,MH-001_C2,train,cnn_test,1,0
192,MH-001_2021_R012_C015,MH-001,Gondkhari,2021,12,15,21.178636,78.916773,MH-001_C2,train,cnn_test,1,0
193,MH-001_2021_R012_C016,MH-001,Gondkhari,2021,12,16,21.178636,78.917043,MH-001_C2,train,cnn_test,1,0
194,MH-001_2021_R012_C017,MH-001,Gondkhari,2021,12,17,21.178636,78.917312,MH-001_C2,train,cnn_test,1,0
195,MH-001_2021_R012_C018,MH-001,Gondkhari,2021,12,18,21.178636,78.917582,MH-001_C2,train,cnn_test,1,0
196,MH-001_2021_R012_C019,MH-001,Gondkhari,2021,12,19,21.178636,78.917851,MH-001_C2,train,cnn_test,1,0
197,MH-001_2021_R012_C020,MH-001,Gondkhari,2021,12,20,21.178636,78.918121,MH-001_C2,train,cnn_test,1,0
198,MH-001_2021_R012_C021,MH-001,Gondkhari,2021,12,21,21.178636,78.91839,MH-001_C3,train,cnn_test,0,0
199,MH-001_2021_R012_C023,MH-001,Gondkhari,2021,12,23,21.178636,78.918929,MH-001_C3,train,cnn_test,0,0
200,MH-001_2021_R012_C024,MH-001,Gondkhari,2021,12,24,21.178636,78.919199,MH-001_C3,train,cnn_test,1,0
201,MH-001_2021_R012_C025,MH-001,Gondkhari,2021,12,25,21.178636,78.919468,MH-001_C3,train,cnn_test,1,0
202,MH-001_2021_R012_C026,MH-001,Gondkhari,2021,12,26,21.178636,78.919738,MH-001_C3,train,cnn_test,0,0
203,MH-001_2021_R012_C029,MH-001,Gondkhari,2021,12,29,21.178636,78.920546,MH-001_C4,train,cnn_test,0,0
204,MH-001_2021_R012_C030,MH-001,Gondkhari,2021,12,30,21.178636,78.920816,MH-001_C4,train,cnn_test,1,0
205,MH-001_2021_R012_C031,MH-001,Gondkhari,2021,12,31,21.178636,78.921085,MH-001_C4,train,cnn_test,3,1
206,MH-001_2021_R012_C032,MH-001,Gondkhari,2021,12,32,21.178636,78.921355,MH-001_C4,train,cnn_test,3,1
207,MH-001_2021_R012_C033,MH-001,Gondkhari,2021,12,33,21.178636,78.921624,MH-001_C5,train,cnn_test,1,0
208,MH-001_2021_R012_C034,MH-001,Gondkhari,2021,12,34,21.178636,78.921894,MH-001_C5,train,cnn_test,3,1
209,MH-001_2021_R012_C035,MH-001,Gondkhari,2021,12,35,21.178636,78.922163,MH-001_C5,train,cnn_test,2,1
210,MH-001_2021_R012_C036,MH-001,Gondkhari,2021,12,36,21.178636,78.922433,MH-001_C5,train,cnn_test,2,1
211,MH-001_2021_R012_C037,MH-001,Gondkhari,2021,12,37,21.178636,78.922702,MH-001_C5,train,cnn_test,1,0
212,MH-001_2021_R012_C038,MH-001,Gondkhari,2021,12,38,21.178636,78.922972,MH-001_C5,train,cnn_test,2,1
