temporal_sample_id,project_id,center_latitude,center_longitude,center_row,center_col,cnn_spatial_split,target
MH-001_21.179714_78.920007,MH-001,21.179714,78.920007,8,27,cnn_test,0
MH-001_21.179714_78.920277,MH-001,21.179714,78.920277,8,28,cnn_test,0
MH-001_21.179714_78.920546,MH-001,21.179714,78.920546,8,29,cnn_test,1
MH-001_21.179714_78.920816,MH-001,21.179714,78.920816,8,30,cnn_test,1
MH-001_21.179714_78.921085,MH-001,21.179714,78.921085,8,31,cnn_test,1
MH-001_21.179714_78.921355,MH-001,21.179714,78.921355,8,32,cnn_test,0
MH-001_21.179714_78.921624,MH-001,21.179714,78.921624,8,33,cnn_test,1
MH-001_21.179714_78.921894,MH-001,21.179714,78.921894,8,34,cnn_test,1
MH-001_21.179714_78.92351,MH-001,21.179714,78.92351,8,40,cnn_test,0
MH-001_21.179714_78.924049,MH-001,21.179714,78.924049,8,42,cnn_test,0
MH-001_21.179714_78.924319,MH-001,21.179714,78.924319,8,43,cnn_test,0
MH-001_21.179714_78.924588,MH-001,21.179714,78.924588,8,44,cnn_test,1
MH-001_21.179445_78.914887,MH-001,21.179445,78.914887,9,8,cnn_test,0
MH-001_21.179445_78.915156,MH-001,21.179445,78.915156,9,9,cnn_test,0
MH-001_21.179445_78.915426,MH-001,21.179445,78.915426,9,10,cnn_test,0
MH-001_21.179445_78.915695,MH-001,21.179445,78.915695,9,11,cnn_test,0
MH-001_21.179445_78.915965,MH-001,21.179445,78.915965,9,12,cnn_test,0
MH-001_21.179445_78.91839,MH-001,21.179445,78.91839,9,21,cnn_test,1
MH-001_21.179445_78.920007,MH-001,21.179445,78.920007,9,27,cnn_test,1
MH-001_21.179445_78.920277,MH-001,21.179445,78.920277,9,28,cnn_test,0
MH-001_21.179445_78.920546,MH-001,21.179445,78.920546,9,29,cnn_test,1
MH-001_21.179445_78.920816,MH-001,21.179445,78.920816,9,30,cnn_test,1
MH-001_21.179445_78.921085,MH-001,21.179445,78.921085,9,31,cnn_test,1
MH-001_21.179445_78.921355,MH-001,21.179445,78.921355,9,32,cnn_test,1
MH-001_21.179445_78.921624,MH-001,21.179445,78.921624,9,33,cnn_test,1
MH-001_21.179445_78.921894,MH-001,21.179445,78.921894,9,34,cnn_test,1
MH-001_21.179445_78.922163,MH-001,21.179445,78.922163,9,35,cnn_test,1
MH-001_21.179445_78.924049,MH-001,21.179445,78.924049,9,42,cnn_test,0
MH-001_21.179445_78.925127,MH-001,21.179445,78.925127,9,46,cnn_test,1
MH-001_21.179445_78.925397,MH-001,21.179445,78.925397,9,47,cnn_test,0
MH-001_21.179445_78.925666,MH-001,21.179445,78.925666,9,48,cnn_test,0
MH-001_21.179445_78.925936,MH-001,21.179445,78.925936,9,49,cnn_test,0
MH-001_21.179175_78.914887,MH-001,21.179175,78.914887,10,8,cnn_test,0
MH-001_21.179175_78.915156,MH-001,21.179175,78.915156,10,9,cnn_test,0
MH-001_21.179175_78.915695,MH-001,21.179175,78.915695,10,11,cnn_test,0
MH-001_21.179175_78.915965,MH-001,21.179175,78.915965,10,12,cnn_test,0
MH-001_21.179175_78.916504,MH-001,21.179175,78.916504,10,14,cnn_test,0
MH-001_21.179175_78.916773,MH-001,21.179175,78.916773,10,15,cnn_test,0
MH-001_21.179175_78.917043,MH-001,21.179175,78.917043,10,16,cnn_test,0
MH-001_21.179175_78.917312,MH-001,21.179175,78.917312,10,17,cnn_test,0
MH-001_21.179175_78.91866,MH-001,21.179175,78.91866,10,22,cnn_test,0
MH-001_21.179175_78.918929,MH-001,21.179175,78.918929,10,23,cnn_test,0
MH-001_21.179175_78.920277,MH-001,21.179175,78.920277,10,28,cnn_test,0
MH-001_21.179175_78.920546,MH-001,21.179175,78.920546,10,29,cnn_test,1
MH-001_21.179175_78.920816,MH-001,21.179175,78.920816,10,30,cnn_test,1
MH-001_21.179175_78.921085,MH-001,21.179175,78.921085,10,31,cnn_test,1
MH-001_21.179175_78.921355,MH-001,21.179175,78.921355,10,32,cnn_test,1
MH-001_21.179175_78.921624,MH-001,21.179175,78.921624,10,33,cnn_test,1
MH-001_21.179175_78.921894,MH-001,21.179175,78.921894,10,34,cnn_test,1
MH-001_21.179175_78.922163,MH-001,21.179175,78.922163,10,35,cnn_test,0
MH-001_21.179175_78.922433,MH-001,21.179175,78.922433,10,36,cnn_test,1
MH-001_21.179175_78.922702,MH-001,21.179175,78.922702,10,37,cnn_test,0
MH-001_21.179175_78.923241,MH-001,21.179175,78.923241,10,39,cnn_test,1
MH-001_21.179175_78.92351,MH-001,21.179175,78.92351,10,40,cnn_test,1
MH-001_21.179175_78.924319,MH-001,21.179175,78.924319,10,43,cnn_test,0
MH-001_21.179175_78.925127,MH-001,21.179175,78.925127,10,46,cnn_test,1
MH-001_21.179175_78.925397,MH-001,21.179175,78.925397,10,47,cnn_test,1
MH-001_21.179175_78.925666,MH-001,21.179175,78.925666,10,48,cnn_test,1
MH-001_21.179175_78.925936,MH-001,21.179175,78.925936,10,49,cnn_test,0
MH-001_21.178906_78.914617,MH-001,21.178906,78.914617,11,7,cnn_test,0
MH-001_21.178906_78.914887,MH-001,21.178906,78.914887,11,8,cnn_test,0
MH-001_21.178906_78.915156,MH-001,21.178906,78.915156,11,9,cnn_test,0
MH-001_21.178906_78.915426,MH-001,21.178906,78.915426,11,10,cnn_test,0
MH-001_21.178906_78.917043,MH-001,21.178906,78.917043,11,16,cnn_test,0
MH-001_21.178906_78.917312,MH-001,21.178906,78.917312,11,17,cnn_test,0
MH-001_21.178906_78.917582,MH-001,21.178906,78.917582,11,18,cnn_test,0
MH-001_21.178906_78.91866,MH-001,21.178906,78.91866,11,22,cnn_test,0
MH-001_21.178906_78.920546,MH-001,21.178906,78.920546,11,29,cnn_test,1
MH-001_21.178906_78.920816,MH-001,21.178906,78.920816,11,30,cnn_test,1
MH-001_21.178906_78.921085,MH-001,21.178906,78.921085,11,31,cnn_test,1
MH-001_21.178906_78.921355,MH-001,21.178906,78.921355,11,32,cnn_test,1
MH-001_21.178906_78.921624,MH-001,21.178906,78.921624,11,33,cnn_test,1
MH-001_21.178906_78.921894,MH-001,21.178906,78.921894,11,34,cnn_test,1
MH-001_21.178906_78.922163,MH-001,21.178906,78.922163,11,35,cnn_test,1
MH-001_21.178906_78.922433,MH-001,21.178906,78.922433,11,36,cnn_test,1
MH-001_21.178906_78.922702,MH-001,21.178906,78.922702,11,37,cnn_test,1
MH-001_21.178906_78.923241,MH-001,21.178906,78.923241,11,39,cnn_test,1
MH-001_21.178906_78.92351,MH-001,21.178906,78.92351,11,40,cnn_test,1
MH-001_21.178906_78.924049,MH-001,21.178906,78.924049,11,42,cnn_test,1
MH-001_21.178906_78.924319,MH-001,21.178906,78.924319,11,43,cnn_test,0
MH-001_21.178906_78.924858,MH-001,21.178906,78.924858,11,45,cnn_test,1
MH-001_21.178906_78.925397,MH-001,21.178906,78.925397,11,47,cnn_test,1
MH-001_21.178906_78.925666,MH-001,21.178906,78.925666,11,48,cnn_test,1
MH-001_21.178906_78.925936,MH-001,21.178906,78.925936,11,49,cnn_test,0
MH-001_21.178906_78.926205,MH-001,21.178906,78.926205,11,50,cnn_test,1
MH-001_21.178906_78.926475,MH-001,21.178906,78.926475,11,51,cnn_test,1
MH-001_21.178636_78.914617,MH-001,21.178636,78.914617,12,7,cnn_test,0
MH-001_21.178636_78.914887,MH-001,21.178636,78.914887,12,8,cnn_test,0
MH-001_21.178636_78.915156,MH-001,21.178636,78.915156,12,9,cnn_test,0
MH-001_21.178636_78.916504,MH-001,21.178636,78.916504,12,14,cnn_test,0
MH-001_21.178636_78.916773,MH-001,21.178636,78.916773,12,15,cnn_test,0
MH-001_21.178636_78.917043,MH-001,21.178636,78.917043,12,16,cnn_test,0
MH-001_21.178636_78.917312,MH-001,21.178636,78.917312,12,17,cnn_test,0
MH-001_21.178636_78.917582,MH-001,21.178636,78.917582,12,18,cnn_test,0
MH-001_21.178636_78.917851,MH-001,21.178636,78.917851,12,19,cnn_test,0
MH-001_21.178636_78.918121,MH-001,21.178636,78.918121,12,20,cnn_test,0
MH-001_21.178636_78.921355,MH-001,21.178636,78.921355,12,32,cnn_test,1
MH-001_21.178636_78.921624,MH-001,21.178636,78.921624,12,33,cnn_test,0
MH-001_21.178636_78.921894,MH-001,21.178636,78.921894,12,34,cnn_test,1
MH-001_21.178636_78.922163,MH-001,21.178636,78.922163,12,35,cnn_test,1
MH-001_21.178636_78.922433,MH-001,21.178636,78.922433,12,36,cnn_test,1
MH-001_21.178636_78.922702,MH-001,21.178636,78.922702,12,37,cnn_test,0
MH-001_21.178636_78.923241,MH-001,21.178636,78.923241,12,39,cnn_test,1
MH-001_21.178636_78.92351,MH-001,21.178636,78.92351,12,40,cnn_test,1
MH-001_21.178636_78.924049,MH-001,21.178636,78.924049,12,42,cnn_test,1
MH-001_21.178636_78.924319,MH-001,21.178636,78.924319,12,43,cnn_test,0
MH-001_21.178636_78.924588,MH-001,21.178636,78.924588,12,44,cnn_test,0
MH-001_21.178636_78.924858,MH-001,21.178636,78.924858,12,45,cnn_test,1
MH-001_21.178636_78.925127,MH-001,21.178636,78.925127,12,46,cnn_test,1
MH-001_21.178636_78.925666,MH-001,21.178636,78.925666,12,48,cnn_test,1
MH-001_21.178367_78.914887,MH-001,21.178367,78.914887,13,8,cnn_test,0
MH-001_21.178367_78.915156,MH-001,21.178367,78.915156,13,9,cnn_test,0
MH-001_21.178367_78.915695,MH-001,21.178367,78.915695,13,11,cnn_test,0
MH-001_21.178367_78.916773,MH-001,21.178367,78.916773,13,15,cnn_test,0
MH-001_21.178367_78.917043,MH-001,21.178367,78.917043,13,16,cnn_test,0
MH-001_21.178367_78.917312,MH-001,21.178367,78.917312,13,17,cnn_test,0
MH-001_21.178367_78.917582,MH-001,21.178367,78.917582,13,18,cnn_test,0
MH-001_21.178367_78.917851,MH-001,21.178367,78.917851,13,19,cnn_test,0
MH-001_21.178367_78.920277,MH-001,21.178367,78.920277,13,28,cnn_test,0
MH-001_21.178367_78.921355,MH-001,21.178367,78.921355,13,32,cnn_test,1
MH-001_21.178367_78.921624,MH-001,21.178367,78.921624,13,33,cnn_test,1
MH-001_21.178367_78.921894,MH-001,21.178367,78.921894,13,34,cnn_test,1
MH-001_21.178367_78.922163,MH-001,21.178367,78.922163,13,35,cnn_test,1
MH-001_21.178367_78.922433,MH-001,21.178367,78.922433,13,36,cnn_test,0
MH-001_21.178367_78.922702,MH-001,21.178367,78.922702,13,37,cnn_test,0
MH-001_21.178367_78.92351,MH-001,21.178367,78.92351,13,40,cnn_test,0
MH-001_21.178367_78.92378,MH-001,21.178367,78.92378,13,41,cnn_test,0
MH-001_21.178367_78.924049,MH-001,21.178367,78.924049,13,42,cnn_test,0
MH-001_21.178367_78.924319,MH-001,21.178367,78.924319,13,43,cnn_test,0
MH-001_21.178367_78.924858,MH-001,21.178367,78.924858,13,45,cnn_test,0
MH-001_21.178367_78.926475,MH-001,21.178367,78.926475,13,51,cnn_test,1
MH-001_21.178097_78.914617,MH-001,21.178097,78.914617,14,7,cnn_test,0
MH-001_21.178097_78.914887,MH-001,21.178097,78.914887,14,8,cnn_test,0
MH-001_21.178097_78.915426,MH-001,21.178097,78.915426,14,10,cnn_test,0
MH-001_21.178097_78.915695,MH-001,21.178097,78.915695,14,11,cnn_test,0
MH-001_21.178097_78.916773,MH-001,21.178097,78.916773,14,15,cnn_test,0
MH-001_21.178097_78.917312,MH-001,21.178097,78.917312,14,17,cnn_test,0
MH-001_21.178097_78.917582,MH-001,21.178097,78.917582,14,18,cnn_test,0
MH-001_21.178097_78.917851,MH-001,21.178097,78.917851,14,19,cnn_test,0
MH-001_21.178097_78.918121,MH-001,21.178097,78.918121,14,20,cnn_test,0
MH-001_21.178097_78.91839,MH-001,21.178097,78.91839,14,21,cnn_test,0
MH-001_21.178097_78.920277,MH-001,21.178097,78.920277,14,28,cnn_test,0
MH-001_21.178097_78.920546,MH-001,21.178097,78.920546,14,29,cnn_test,0
MH-001_21.178097_78.920816,MH-001,21.178097,78.920816,14,30,cnn_test,0
MH-001_21.178097_78.921355,MH-001,21.178097,78.921355,14,32,cnn_test,0
MH-001_21.178097_78.921624,MH-001,21.178097,78.921624,14,33,cnn_test,0
MH-001_21.178097_78.921894,MH-001,21.178097,78.921894,14,34,cnn_test,1
MH-001_21.178097_78.922163,MH-001,21.178097,78.922163,14,35,cnn_test,0
MH-001_21.178097_78.922433,MH-001,21.178097,78.922433,14,36,cnn_test,0
MH-001_21.178097_78.922702,MH-001,21.178097,78.922702,14,37,cnn_test,0
MH-001_21.178097_78.922972,MH-001,21.178097,78.922972,14,38,cnn_test,0
MH-001_21.178097_78.92378,MH-001,21.178097,78.92378,14,41,cnn_test,0
MH-001_21.178097_78.924049,MH-001,21.178097,78.924049,14,42,cnn_test,0
MH-001_21.178097_78.926475,MH-001,21.178097,78.926475,14,51,cnn_test,0
MH-001_21.177828_78.914617,MH-001,21.177828,78.914617,15,7,cnn_test,0
MH-001_21.177828_78.914887,MH-001,21.177828,78.914887,15,8,cnn_test,0
MH-001_21.177828_78.915156,MH-001,21.177828,78.915156,15,9,cnn_test,0
MH-001_21.177828_78.915426,MH-001,21.177828,78.915426,15,10,cnn_test,0
MH-001_21.177828_78.915695,MH-001,21.177828,78.915695,15,11,cnn_test,0
MH-001_21.177828_78.917851,MH-001,21.177828,78.917851,15,19,cnn_test,0
MH-001_21.177828_78.918121,MH-001,21.177828,78.918121,15,20,cnn_test,0
MH-001_21.177828_78.920277,MH-001,21.177828,78.920277,15,28,cnn_test,0
MH-001_21.177828_78.920546,MH-001,21.177828,78.920546,15,29,cnn_test,0
MH-001_21.177828_78.921355,MH-001,21.177828,78.921355,15,32,cnn_test,0
MH-001_21.177828_78.921624,MH-001,21.177828,78.921624,15,33,cnn_test,0
MH-001_21.177828_78.921894,MH-001,21.177828,78.921894,15,34,cnn_test,0
MH-001_21.177828_78.922163,MH-001,21.177828,78.922163,15,35,cnn_test,1
MH-001_21.177828_78.922433,MH-001,21.177828,78.922433,15,36,cnn_test,1
MH-001_21.177828_78.922702,MH-001,21.177828,78.922702,15,37,cnn_test,1
MH-001_21.177828_78.922972,MH-001,21.177828,78.922972,15,38,cnn_test,1
MH-001_21.177828_78.92378,MH-001,21.177828,78.92378,15,41,cnn_test,1
MH-001_21.177828_78.924049,MH-001,21.177828,78.924049,15,42,cnn_test,0
MH-001_21.177828_78.924588,MH-001,21.177828,78.924588,15,44,cnn_test,0
MH-001_21.177828_78.924858,MH-001,21.177828,78.924858,15,45,cnn_test,0
MH-001_21.177828_78.925127,MH-001,21.177828,78.925127,15,46,cnn_test,1
MH-001_21.177828_78.926475,MH-001,21.177828,78.926475,15,51,cnn_test,1
MH-001_21.177558_78.914617,MH-001,21.177558,78.914617,16,7,cnn_test,0
MH-001_21.177558_78.915156,MH-001,21.177558,78.915156,16,9,cnn_test,0
MH-001_21.177558_78.915426,MH-001,21.177558,78.915426,16,10,cnn_test,0
MH-001_21.177558_78.915695,MH-001,21.177558,78.915695,16,11,cnn_test,0
MH-001_21.177558_78.915965,MH-001,21.177558,78.915965,16,12,cnn_test,0
MH-001_21.177558_78.918121,MH-001,21.177558,78.918121,16,20,cnn_test,0
MH-001_21.177558_78.91839,MH-001,21.177558,78.91839,16,21,cnn_test,0
MH-001_21.177558_78.918929,MH-001,21.177558,78.918929,16,23,cnn_test,0
MH-001_21.177558_78.919199,MH-001,21.177558,78.919199,16,24,cnn_test,0
MH-001_21.177558_78.919468,MH-001,21.177558,78.919468,16,25,cnn_test,0
MH-001_21.177558_78.919738,MH-001,21.177558,78.919738,16,26,cnn_test,0
MH-001_21.177558_78.920546,MH-001,21.177558,78.920546,16,29,cnn_test,0
MH-001_21.177558_78.921355,MH-001,21.177558,78.921355,16,32,cnn_test,0
MH-001_21.177558_78.921624,MH-001,21.177558,78.921624,16,33,cnn_test,0
MH-001_21.177558_78.921894,MH-001,21.177558,78.921894,16,34,cnn_test,0
MH-001_21.177558_78.922163,MH-001,21.177558,78.922163,16,35,cnn_test,1
MH-001_21.177558_78.922433,MH-001,21.177558,78.922433,16,36,cnn_test,1
MH-001_21.177558_78.922702,MH-001,21.177558,78.922702,16,37,cnn_test,1
MH-001_21.177558_78.922972,MH-001,21.177558,78.922972,16,38,cnn_test,1
MH-001_21.177558_78.923241,MH-001,21.177558,78.923241,16,39,cnn_test,1
MH-001_21.177558_78.92351,MH-001,21.177558,78.92351,16,40,cnn_test,0
MH-001_21.177558_78.924319,MH-001,21.177558,78.924319,16,43,cnn_test,1
MH-001_21.177558_78.924588,MH-001,21.177558,78.924588,16,44,cnn_test,0
MH-001_21.177558_78.924858,MH-001,21.177558,78.924858,16,45,cnn_test,1
MH-001_21.177558_78.925127,MH-001,21.177558,78.925127,16,46,cnn_test,1
MH-001_21.177558_78.925397,MH-001,21.177558,78.925397,16,47,cnn_test,0
MH-001_21.177558_78.925666,MH-001,21.177558,78.925666,16,48,cnn_test,0
MH-001_21.177289_78.914887,MH-001,21.177289,78.914887,17,8,cnn_test,0
MH-001_21.177289_78.915156,MH-001,21.177289,78.915156,17,9,cnn_test,0
MH-001_21.177289_78.915426,MH-001,21.177289,78.915426,17,10,cnn_test,0
MH-001_21.177289_78.916773,MH-001,21.177289,78.916773,17,15,cnn_test,0
MH-001_21.177289_78.917851,MH-001,21.177289,78.917851,17,19,cnn_test,0
MH-001_21.177289_78.918121,MH-001,21.177289,78.918121,17,20,cnn_test,0
MH-001_21.177289_78.91839,MH-001,21.177289,78.91839,17,21,cnn_test,1
MH-001_21.177289_78.919199,MH-001,21.177289,78.919199,17,24,cnn_test,0
MH-001_21.177289_78.919468,MH-001,21.177289,78.919468,17,25,cnn_test,0
MH-001_21.177289_78.919738,MH-001,21.177289,78.919738,17,26,cnn_test,0
MH-001_21.177289_78.920007,MH-001,21.177289,78.920007,17,27,cnn_test,0
MH-001_21.177289_78.921355,MH-001,21.177289,78.921355,17,32,cnn_test,0
MH-001_21.177289_78.921624,MH-001,21.177289,78.921624,17,33,cnn_test,0
MH-001_21.177289_78.921894,MH-001,21.177289,78.921894,17,34,cnn_test,0
MH-001_21.177289_78.922163,MH-001,21.177289,78.922163,17,35,cnn_test,0
MH-001_21.177289_78.922433,MH-001,21.177289,78.922433,17,36,cnn_test,0
MH-001_21.177289_78.922702,MH-001,21.177289,78.922702,17,37,cnn_test,0
MH-001_21.177289_78.922972,MH-001,21.177289,78.922972,17,38,cnn_test,1
MH-001_21.177289_78.923241,MH-001,21.177289,78.923241,17,39,cnn_test,0
MH-001_21.177289_78.92351,MH-001,21.177289,78.92351,17,40,cnn_test,0
MH-001_21.177289_78.92378,MH-001,21.177289,78.92378,17,41,cnn_test,0
MH-001_21.177289_78.924049,MH-001,21.177289,78.924049,17,42,cnn_test,0
MH-001_21.177289_78.924319,MH-001,21.177289,78.924319,17,43,cnn_test,0
MH-001_21.177289_78.924588,MH-001,21.177289,78.924588,17,44,cnn_test,0
MH-001_21.177289_78.924858,MH-001,21.177289,78.924858,17,45,cnn_test,1
MH-001_21.177289_78.925397,MH-001,21.177289,78.925397,17,47,cnn_test,0
MH-001_21.177019_78.914617,MH-001,21.177019,78.914617,18,7,cnn_test,0
MH-001_21.177019_78.914887,MH-001,21.177019,78.914887,18,8,cnn_test,0
MH-001_21.177019_78.915156,MH-001,21.177019,78.915156,18,9,cnn_test,0
MH-001_21.177019_78.915426,MH-001,21.177019,78.915426,18,10,cnn_test,0
MH-001_21.177019_78.915695,MH-001,21.177019,78.915695,18,11,cnn_test,1
MH-001_21.177019_78.917851,MH-001,21.177019,78.917851,18,19,cnn_test,0
MH-001_21.177019_78.918121,MH-001,21.177019,78.918121,18,20,cnn_test,0
MH-001_21.177019_78.919199,MH-001,21.177019,78.919199,18,24,cnn_test,0
MH-001_21.177019_78.919468,MH-001,21.177019,78.919468,18,25,cnn_test,0
MH-001_21.177019_78.919738,MH-001,21.177019,78.919738,18,26,cnn_test,0
MH-001_21.177019_78.920007,MH-001,21.177019,78.920007,18,27,cnn_test,0
MH-001_21.177019_78.921355,MH-001,21.177019,78.921355,18,32,cnn_test,0
MH-001_21.177019_78.921624,MH-001,21.177019,78.921624,18,33,cnn_test,0
MH-001_21.177019_78.921894,MH-001,21.177019,78.921894,18,34,cnn_test,0
MH-001_21.177019_78.922163,MH-001,21.177019,78.922163,18,35,cnn_test,0
MH-001_21.177019_78.922433,MH-001,21.177019,78.922433,18,36,cnn_test,0
MH-001_21.177019_78.922702,MH-001,21.177019,78.922702,18,37,cnn_test,0
MH-001_21.177019_78.922972,MH-001,21.177019,78.922972,18,38,cnn_test,0
MH-001_21.177019_78.923241,MH-001,21.177019,78.923241,18,39,cnn_test,0
MH-001_21.177019_78.92351,MH-001,21.177019,78.92351,18,40,cnn_test,1
MH-001_21.177019_78.92378,MH-001,21.177019,78.92378,18,41,cnn_test,1
MH-001_21.177019_78.924049,MH-001,21.177019,78.924049,18,42,cnn_test,0
MH-001_21.177019_78.924319,MH-001,21.177019,78.924319,18,43,cnn_test,0
MH-001_21.177019_78.924588,MH-001,21.177019,78.924588,18,44,cnn_test,0
MH-001_21.177019_78.925127,MH-001,21.177019,78.925127,18,46,cnn_test,1
MH-001_21.177019_78.925397,MH-001,21.177019,78.925397,18,47,cnn_test,0
MH-001_21.17675_78.914887,MH-001,21.17675,78.914887,19,8,cnn_test,0
MH-001_21.17675_78.915156,MH-001,21.17675,78.915156,19,9,cnn_test,0
MH-001_21.17675_78.915426,MH-001,21.17675,78.915426,19,10,cnn_test,0
MH-001_21.17675_78.915695,MH-001,21.17675,78.915695,19,11,cnn_test,0
MH-001_21.17675_78.915965,MH-001,21.17675,78.915965,19,12,cnn_test,0
MH-001_21.17675_78.916234,MH-001,21.17675,78.916234,19,13,cnn_test,0
MH-001_21.17675_78.916504,MH-001,21.17675,78.916504,19,14,cnn_test,0
MH-001_21.17675_78.917043,MH-001,21.17675,78.917043,19,16,cnn_test,0
MH-001_21.17675_78.917582,MH-001,21.17675,78.917582,19,18,cnn_test,0
MH-001_21.17675_78.917851,MH-001,21.17675,78.917851,19,19,cnn_test,0
MH-001_21.17675_78.918121,MH-001,21.17675,78.918121,19,20,cnn_test,0
MH-001_21.17675_78.91839,MH-001,21.17675,78.91839,19,21,cnn_test,0
MH-001_21.17675_78.919738,MH-001,21.17675,78.919738,19,26,cnn_test,0
MH-001_21.17675_78.920007,MH-001,21.17675,78.920007,19,27,cnn_test,0
MH-001_21.17675_78.921894,MH-001,21.17675,78.921894,19,34,cnn_test,0
MH-001_21.17675_78.922702,MH-001,21.17675,78.922702,19,37,cnn_test,0
MH-001_21.17675_78.922972,MH-001,21.17675,78.922972,19,38,cnn_test,1
MH-001_21.17675_78.924319,MH-001,21.17675,78.924319,19,43,cnn_test,0
MH-001_21.17675_78.924858,MH-001,21.17675,78.924858,19,45,cnn_test,0
MH-001_21.17675_78.925127,MH-001,21.17675,78.925127,19,46,cnn_test,0
MH-001_21.17675_78.925397,MH-001,21.17675,78.925397,19,47,cnn_test,0
MH-001_21.17675_78.926205,MH-001,21.17675,78.926205,19,50,cnn_test,0
MH-001_21.17648_78.914887,MH-001,21.17648,78.914887,20,8,cnn_test,0
MH-001_21.17648_78.915156,MH-001,21.17648,78.915156,20,9,cnn_test,0
MH-001_21.17648_78.915426,MH-001,21.17648,78.915426,20,10,cnn_test,0
MH-001_21.17648_78.915695,MH-001,21.17648,78.915695,20,11,cnn_test,0
MH-001_21.17648_78.915965,MH-001,21.17648,78.915965,20,12,cnn_test,0
MH-001_21.17648_78.916234,MH-001,21.17648,78.916234,20,13,cnn_test,0
MH-001_21.17648_78.916504,MH-001,21.17648,78.916504,20,14,cnn_test,0
MH-001_21.17648_78.917043,MH-001,21.17648,78.917043,20,16,cnn_test,0
MH-001_21.17648_78.917582,MH-001,21.17648,78.917582,20,18,cnn_test,0
MH-001_21.17648_78.917851,MH-001,21.17648,78.917851,20,19,cnn_test,0
MH-001_21.17648_78.918121,MH-001,21.17648,78.918121,20,20,cnn_test,0
MH-001_21.17648_78.919468,MH-001,21.17648,78.919468,20,25,cnn_test,0
MH-001_21.17648_78.923241,MH-001,21.17648,78.923241,20,39,cnn_test,1
MH-001_21.17648_78.92378,MH-001,21.17648,78.92378,20,41,cnn_test,1
MH-001_21.17648_78.924049,MH-001,21.17648,78.924049,20,42,cnn_test,0
MH-001_21.17648_78.924319,MH-001,21.17648,78.924319,20,43,cnn_test,0
MH-001_21.17648_78.924588,MH-001,21.17648,78.924588,20,44,cnn_test,0
MH-001_21.17648_78.926205,MH-001,21.17648,78.926205,20,50,cnn_test,0
MH-001_21.176211_78.915156,MH-001,21.176211,78.915156,21,9,cnn_test,0
MH-001_21.176211_78.915426,MH-001,21.176211,78.915426,21,10,cnn_test,0
MH-001_21.176211_78.915695,MH-001,21.176211,78.915695,21,11,cnn_test,0
MH-001_21.176211_78.915965,MH-001,21.176211,78.915965,21,12,cnn_test,0
MH-001_21.176211_78.916234,MH-001,21.176211,78.916234,21,13,cnn_test,0
MH-001_21.176211_78.916504,MH-001,21.176211,78.916504,21,14,cnn_test,0
MH-001_21.176211_78.917312,MH-001,21.176211,78.917312,21,17,cnn_test,0
MH-001_21.176211_78.917851,MH-001,21.176211,78.917851,21,19,cnn_test,0
MH-001_21.176211_78.918121,MH-001,21.176211,78.918121,21,20,cnn_test,0
